Ticker,Asset,Role,Loss_Function,Model_1,Model_2,Observations,Mean_Loss_Model_1,Mean_Loss_Model_2,Mean_Loss_Difference,DM_Statistic,Raw_p_value,Lower_Mean_Loss_Model,Holm_Adjusted_p,Significant_Raw_5pct,Significant_Holm_5pct,Preferred_Model_if_Holm_Significant
XOM,Exxon Mobil,Stock,QLIKE,Historical Variance,GARCH,647,1.7611479756371726,1.7377641428914004,0.023383832745772395,1.6704792513483844,0.09530896413707526,GARCH,0.36496090729506264,False,False,No significant difference
XOM,Exxon Mobil,Stock,QLIKE,Historical Variance,Random Forest,647,1.7611479756371726,1.7373432065753833,0.02380476906178907,1.1338802831794288,0.25726536838374636,Random Forest,0.5145307367674927,False,False,No significant difference
XOM,Exxon Mobil,Stock,QLIKE,Historical Variance,LSTM,647,1.7611479756371726,1.8225911621361244,-0.06144318649895175,-1.6914131399184642,0.09124022682376566,Historical Variance,0.36496090729506264,False,False,No significant difference
XOM,Exxon Mobil,Stock,QLIKE,GARCH,Random Forest,647,1.7377641428914004,1.7373432065753833,0.00042093631601667285,0.031402879922281975,0.9749579438803684,Random Forest,0.9749579438803684,False,False,No significant difference
XOM,Exxon Mobil,Stock,QLIKE,GARCH,LSTM,647,1.7377641428914004,1.8225911621361244,-0.08482701924472413,-2.806072130966534,0.005166004550645215,GARCH,0.03099602730387129,True,True,GARCH
XOM,Exxon Mobil,Stock,QLIKE,Random Forest,LSTM,647,1.7373432065753833,1.8225911621361244,-0.08524795556074082,-2.39503132082852,0.016902761087734943,Random Forest,0.08451380543867472,True,False,No significant difference
XOM,Exxon Mobil,Stock,Squared_Error,Historical Variance,GARCH,647,17.87254768731889,17.135103094384597,0.7374445929342949,2.885768397073384,0.004034893798926264,GARCH,0.024209362793557586,True,True,GARCH
XOM,Exxon Mobil,Stock,Squared_Error,Historical Variance,Random Forest,647,17.87254768731889,18.373998586149707,-0.5014508988308185,-0.4746668635976773,0.6351848586502924,Historical Variance,1.0,False,False,No significant difference
XOM,Exxon Mobil,Stock,Squared_Error,Historical Variance,LSTM,647,17.87254768731889,18.19849765529238,-0.3259499679734856,-0.6218157819647907,0.5342823887552361,Historical Variance,1.0,False,False,No significant difference
XOM,Exxon Mobil,Stock,Squared_Error,GARCH,Random Forest,647,17.135103094384597,18.373998586149707,-1.2388954917651134,-1.2855460834534527,0.19906217269054713,GARCH,0.7962486907621885,False,False,No significant difference
XOM,Exxon Mobil,Stock,Squared_Error,GARCH,LSTM,647,17.135103094384597,18.19849765529238,-1.0633945609077806,-1.9522628685117975,0.051338598225986375,GARCH,0.2566929911299319,False,False,No significant difference
XOM,Exxon Mobil,Stock,Squared_Error,Random Forest,LSTM,647,18.373998586149707,18.19849765529238,0.17550093085733293,0.1452038111950915,0.8845952491155662,LSTM,1.0,False,False,No significant difference
XOM,Exxon Mobil,Stock,Absolute_Error,Historical Variance,GARCH,647,2.3295323858163486,2.3253767357856447,0.004155650030703811,0.2024148907310743,0.8396561184265912,GARCH,0.8396561184265912,False,False,No significant difference
XOM,Exxon Mobil,Stock,Absolute_Error,Historical Variance,Random Forest,647,2.3295323858163486,2.371037623247625,-0.04150523743127577,-0.8897669061250945,0.3739222818343841,Historical Variance,0.7478445636687682,False,False,No significant difference
XOM,Exxon Mobil,Stock,Absolute_Error,Historical Variance,LSTM,647,2.3295323858163486,2.78471699271938,-0.4551846069030313,-8.07540001673275,3.2996871188669696e-15,Historical Variance,1.649843559433485e-14,True,True,Historical Variance
XOM,Exxon Mobil,Stock,Absolute_Error,GARCH,Random Forest,647,2.3253767357856447,2.371037623247625,-0.04566088746197959,-1.1581420329744563,0.24723406257401914,GARCH,0.7417021877220574,False,False,No significant difference
XOM,Exxon Mobil,Stock,Absolute_Error,GARCH,LSTM,647,2.3253767357856447,2.78471699271938,-0.4593402569337351,-9.345250062572456,1.4674543134460165e-19,GARCH,8.804725880676099e-19,True,True,GARCH
